time,y_test,y_pred,all
2019-04-23 18:00:00,28010KT 250V310 9999 VCSH SCT040TCU 12/04 Q0997 TEMPO SHRA,30009kt 260v010 9999 ra few025 sct039 09 07 q0994 tempo 3000,23013kt 9999 prec0n CL0 CM0 13 05 q0994 30009kt 260v010 9999 ra few025 sct039 09 07 q0994 tempo 3000
2019-05-09 11:00:00,01003KT 340V040 7000 RA FEW016 SCT025 BKN040 11/10 Q1010 TEMPO 3000,19009kt 160v240 9999 sct024 bkn029 14 10 q1011 nosig,20005kt 4000 prec0y CL6 CM5 15 10 q1011 19009kt 160v240 9999 sct024 bkn029 14 10 q1011 nosig bkn010 sct030cb
2021-12-24 10:00:00,17009KT 140V220 9999 -RA FEW022 SCT040 12/10 Q1005 TEMPO RA,19009kt 9999 few020 13 09 q1007 tempo ra bkn014 bkn030 10,21007kt 9999 prec0y CL0 CM0 13 10 q1003 19009kt 9999 few020 13 09 q1007 tempo ra bkn014 bkn030 10
2019-08-17 12:00:00,20012KT 160V240 9999 BKN021 BKN027 24/20 Q1015 NOSIG,9999 300v080 9999 few035 24 15 q1015 nosig,20011kt 9999 prec0n CL0 CM0 24 19 q1015 9999 300v080 9999 few035 24 15 q1015 nosig nosig fg bkn003
2022-04-13 04:00:00,20004KT 160V240 3000 -RA SCT011 BKN018 12/11 Q1013 NOSIG,27006kt 9999 bkn040 12 10 q1012 nosig,26007kt 9999 prec0n CL5 CM1 12 11 q1012 27006kt 9999 bkn040 12 10 q1012 nosig nosig bkn010 bkn030 16
2021-05-06 19:00:00,23009KT 200V260 9999 FEW035 17/11 Q1018 NOSIG,17004kt 9999 few030 15 13 q1016 nosig,24005kt 9999 prec0n CL0 CM2 16 11 q1017 17004kt 9999 few030 15 13 q1016 nosig 17008kt tempo 3000 radz
2019-10-02 08:00:00,22003KT 190V250 9999 FEW025 SCT048 15/14 Q1021 NOSIG,21005kt 9999 few021 bkn041 bkn043 15 14 q1021 nosig,23005kt 9999 prec0y CL3 CM0 14 13 q1021 21005kt 9999 few021 bkn041 bkn043 15 14 q1021 nosig nosig 3000
2022-09-03 12:00:00,22011KT 9999 FEW034 BKN042 24/12 Q1014 NOSIG,24008kt 200v260 9999 few048 23 14 q1014 nosig,23011kt 9999 prec0n CL3 CM0 22 14 q1014 24008kt 200v260 9999 few048 23 14 q1014 nosig ra nsc 20
2018-12-18 07:00:00,19019G36KT 160V220 9999 -RA BKN021 12/10 Q1007 TEMPO 3000 RA,22017kt 190v250 9999 ra few026 bkn043 14 13 q1009 tempo 3000,19023kt 7000 prec0y CL0 CM2 14 11 q1008 22017kt 190v250 9999 ra few026 bkn043 14 13 q1009 tempo 3000
2021-05-31 06:00:00,VRB01KT CAVOK 11/11 Q1012 NOSIG,vrb02kt cavok 12 10 q1011 nosig,14003kt 9999 prec0n CL0 CM0 10 10 q1013 vrb02kt cavok 12 10 q1011 nosig ncd 18 15 q1009 nosig
2022-10-22 10:00:00,16013KT 100V190 9999 FEW025 SCT030TCU 19/12 Q1002 TEMPO 3000 SHRA SCT030TCU,19008kt 150v230 9999 few030 18 13 q1004 nosig,15009kt 9999 prec0n CL0 CM2 18 13 q1003 19008kt 150v230 9999 few030 18 13 q1004 nosig 4000 shra sct025tcu
2020-07-24 15:00:00,01008KT 310V070 9999 FEW027 22/15 Q1020 NOSIG,02008kt 320v070 9999 few030 22 16 q1020 nosig,33007kt 9999 prec0n CL0 CM0 22 16 q1020 02008kt 320v070 9999 few030 22 16 q1020 nosig nosig 1500 ra
2019-01-18 04:00:00,17006KT CAVOK 05/05 Q1021,21005kt 9999 few045 05 03 q1022 nosig,20007kt 9999 prec0n CL0 CM4 08 05 q1022 21005kt 9999 few045 05 03 q1022 nosig tempo 3000 shra few008
2018-03-17 01:00:00,01003KT 320V050 9999 VCTS BKN033 BKN041 ///CB 07/04 Q1002,17006kt 9999 few030 sct040 06 05 q1002 tempo 3000 shra sct025tcu,25007kt 9999 prec0n CL0 CM0 08 05 q1003 17006kt 9999 few030 sct040 06 05 q1002 tempo 3000 shra sct025tcu
2020-06-14 16:00:00,VRB07KT 9999 SCT035 BKN042 17/11 Q1021,vrb05kt 9999 few045 18 12 q1021 nosig,28015kt 9999 prec0n CL2 CM0 20 13 q1020 vrb05kt 9999 few045 18 12 q1021 nosig nosig 3000 ra bkn010
2018-07-05 22:00:00,00000KT 9999 FEW010 BKN030 17/16 Q1024 NOSIG,vrb01kt cavok 16 13 q1025 nosig,24001kt 9999 prec0n CL0 CM0 14 14 q1025 vrb01kt cavok 16 13 q1025 nosig nosig nosig 1500 br dz
2022-01-01 13:00:00,19019G29KT 130V240 CAVOK 22/07 Q1020 NOSIG,18017g28kt 150v250 cavok 19 05 q1019 nosig,19019kt 9999 prec0n CL0 CM0 19 10 q1019 18017g28kt 150v250 cavok 19 05 q1019 nosig 16010kt bkn012 bkn020 18
2020-06-10 13:00:00,02009KT 320V070 CAVOK 19/11 Q1019,35010kt 300v050 9999 few030 19 13 q1018 nosig,36011kt 9999 prec0n CL2 CM3 19 12 q1019 35010kt 300v050 9999 few030 19 13 q1018 nosig nosig rera tempo
2022-06-04 00:00:00,VRB02KT 9000 SCT010 OVC017 16/15 Q1016,vrb02kt 9999 few030 bkn040 16 16 q1016 nosig,34001kt 9999 prec0n CL3 CM2 14 14 q1016 vrb02kt 9999 few030 bkn040 16 16 q1016 nosig 3000 shra sct030tcu
2019-04-12 04:00:00,18003KT 9000 R21/P2000 R03/1300D VCFG NSC 04/04 Q1021 TEMPO 0800 FG,18004kt 0150 r21 0500n r03 0350n fg vv001 03 03 q1021,14003kt 9999 prec0n CL0 CM0 06 05 q1022 18004kt 0150 r21 0500n r03 0350n fg vv001 03 03 q1021
2020-10-28 05:00:00,23006KT CAVOK 13/09 Q1018 NOSIG,23008kt cavok 14 12 q1017 nosig,23009kt 9999 prec0n CL0 CM0 13 11 q1017 23008kt cavok 14 12 q1017 nosig nosig 1500 bcfg bkn003 ovc010
2020-10-23 09:00:00,23007KT 9999 FEW042 14/11 Q1020 NOSIG,24006kt 200v270 9999 few020 bkn032 14 10 q1020 nosig,23007kt 9999 prec0n CL0 CM0 14 10 q1020 24006kt 200v270 9999 few020 bkn032 14 10 q1020 nosig 3000 ra
2019-06-02 14:00:00,04007KT 010V080 9999 FEW040 22/16 Q1017 NOSIG,21005kt 170v240 cavok 21 13 q1018 nosig,26007kt 9999 prec0n CL0 CM2 24 14 q1019 21005kt 170v240 cavok 21 13 q1018 nosig q1020 nosig 3000 ra
2018-07-13 17:00:00,01006KT 300V070 CAVOK 26/19 Q1015 NOSIG,36008kt 300v050 cavok 26 18 q1015 nosig,02011kt 9999 prec0n CL0 CM0 26 19 q1015 36008kt 300v050 cavok 26 18 q1015 nosig nosig 1500 shra sct020cb
2021-06-06 21:00:00,33003KT 290V020 CAVOK 16/13 Q1023 NOSIG,01008kt 320v060 9999 few030 15 09 q1025 nosig,01007kt 9999 prec0n CL0 CM0 14 11 q1026 01008kt 320v060 9999 few030 15 09 q1025 nosig nosig nosig 3000
2021-06-11 23:00:00,36005KT 290V050 9999 FEW035 17/15 Q1021 NOSIG,36004kt 320v070 cavok 17 13 q1022 nosig,02007kt 9999 prec0n CL0 CM0 15 14 q1022 36004kt 320v070 cavok 17 13 q1022 nosig 1500 bcfg bkn005 bkn010
2022-08-24 01:00:00,VRB01KT CAVOK 20/18 Q1013,00000kt 4400 br ovc003 20 19 q1013 nosig,00001kt 500 prec0n CL5 CM0 18 18 q1014 00000kt 4400 br ovc003 20 19 q1013 nosig 4000 ra bkn005
2018-01-23 14:00:00,21009KT 170V250 9999 FEW030 BKN048 15/10 Q1028 NOSIG,20009kt 150v270 9999 sct028 13 11 q1028 nosig,21011kt 9999 prec0n CL0 CM0 15 11 q1028 20009kt 150v270 9999 sct028 13 11 q1028 nosig 15013kt 18 15
2019-08-28 19:00:00,01003KT 330V060 9999 FEW020 19/16 Q1019 NOSIG,00000kt 9999 few012 ovc017 18 17 q1019 nosig,31003kt 9999 prec0n CL2 CM0 17 17 q1019 00000kt 9999 few012 ovc017 18 17 q1019 nosig nosig 3000 radz
2019-09-12 07:00:00,17005KT 9999 0300E R21/P2000 R03/0800N PRFG NSC 10/10 Q1028 NOSIG,vrb01kt 9000 vcfg nsc 10 10 q1029 nosig,17003kt 9999 prec0n CL0 CM0 11 10 q1029 vrb01kt 9000 vcfg nsc 10 10 q1029 nosig 27003kt bkn007 sct025cb
2021-09-05 08:00:00,14003KT 110V170 CAVOK 18/17 Q1014 NOSIG,11003kt 070v170 9999 few007 17 13 q1015 nosig,12003kt 9999 prec0n CL0 CM0 18 13 q1014 11003kt 070v170 9999 few007 17 13 q1015 nosig nsw bkn025 17
2018-08-21 10:00:00,17005KT 120V210 CAVOK 24/17 Q1016 NOSIG,vrb02kt cavok 26 18 q1017 nosig,10005kt 9999 prec0n CL0 CM0 27 18 q1018 vrb02kt cavok 26 18 q1017 nosig nosig nosig 24 19 17
