time,y_test,y_pred,all
2020-07-16 05:00:00,04006KT 010V170 CAVOK 12/10 Q1021 NOSIG,31001kt cavok 13 12 q1021 nosig,01009kt 9999 prec0n CL0 CM0 11 11 q1022 31001kt cavok 13 12 q1021 nosig r35 0700d fg sct001 bkn005
2021-04-02 11:00:00,02005KT 340V060 9000 BCFG SCT006 BKN012 OVC018 14/12 Q1018 TEMPO BKN006,vrb01kt 9999 few010 12 09 q1016 nosig,24001kt 9999 prec0n CL6 CM0 12 10 q1017 vrb01kt 9999 few010 12 09 q1016 nosig 3000 br bkn002 11
2022-11-19 08:00:00,VRB01KT 9000 1500E -DZ BCFG SCT033 BKN040 06/06 Q1022 TEMPO 0800 FG,vrb01kt 9999 few020 09 07 q1022 nosig,26001kt 9999 prec0y CL1 CM0 07 06 q1022 vrb01kt 9999 few020 09 07 q1022 nosig bkn010 10 09 q1017
2021-09-21 13:00:00,06010KT 010V130 9999 FEW035 20/11 Q1026 NOSIG,07011kt 020v110 9999 few018 19 12 q1025 nosig,05015kt 9999 prec0n CL0 CM0 21 13 q1026 07011kt 020v110 9999 few018 19 12 q1025 nosig sct040tcu 18 14
2022-11-19 17:00:00,21004KT 160V260 1500 BCFG SCT001 BKN002 09/09 Q1021 TEMPO 0800 RA BCFG,17004kt 9999 sct010 bkn038 09 09 q1022 nosig,23007kt 8000 prec0y CL5 CM5 10 10 q1022 17004kt 9999 sct010 bkn038 09 09 q1022 nosig sct010 sct030tcu 11
2021-07-21 15:00:00,32005KT 280V020 9999 FEW020 22/15 Q1019 NOSIG,01004kt 300v080 9999 few045 27 17 q1019 nosig,35007kt 9999 prec0n CL0 CM0 28 17 q1018 01004kt 300v080 9999 few045 27 17 q1019 nosig sct008 21 18
2021-02-22 23:00:00,16009KT CAVOK 08/04 Q1022 NOSIG,13004kt 9999 bkn034 09 06 q1022 nosig,14009kt 9999 prec0n CL0 CM4 08 06 q1022 13004kt 9999 bkn034 09 06 q1022 nosig bkn010 sct022cb 13 08
2021-06-04 15:00:00,36007KT 290V060 9999 FEW020 19/09 Q1025 NOSIG,02014kt 360v080 9999 few030 19 10 q1023 nosig,00013kt 9999 prec0n CL0 CM0 20 10 q1024 02014kt 360v080 9999 few030 19 10 q1023 nosig sct007 bkn012 16
2022-06-18 06:00:00,23005KT 190V280 5000 1200E BCFG OVC001 15/15 Q1015 TEMPO 0800 FG,vrb01kt 9999 few020 sct030 17 14 q1015 nosig,19001kt 9999 prec0n CL1 CM0 14 14 q1015 vrb01kt 9999 few020 sct030 17 14 q1015 nosig sct030tcu bkn048 15
2019-10-28 20:00:00,24006KT 170V290 7000 -RA FEW005 BKN012 BKN028 16/16 Q1015 TEMPO 3000 RA,00000kt 9999 vcfg few005 sct020 15 14 q1017 nosig,15003kt 500 prec0y CL5 CM1 15 15 q1017 00000kt 9999 vcfg few005 sct020 15 14 q1017 nosig sct025tcu bkn040
2018-01-26 22:00:00,00000KT 9999 -RA FEW014 FEW024TCU BKN030 BKN036 05/05 Q1034 NOSIG,00000kt 9999 few020 sct032 06 04 q1004 tempo 3000 shra sct020tcu,33005kt 9999 prec0y CL1 CM0 07 06 q1035 00000kt 9999 few020 sct032 06 04 q1004 tempo 3000 shra sct020tcu
